dc1,Nx,Ny,c,f,dc2,ht,lg1,i,mathindex,N
17.5mm,1,9,1.0mm,200.0kHz,7.3mm,7.8mm,1.1mm,19.0A,copper_lizt_c_1,2369
16.5mm,1,1,3.0mm,300.0kHz,8.0mm,7.5mm,3.9mm,11.0A,copper_lizt_c_3,2370
11.5mm,6,1,1.0mm,200.0kHz,7.0mm,4.5mm,2.5mm,38.0A,copper_lizt_c_1,2371
15.0mm,2,3,1.0mm,300.0kHz,7.0mm,8.0mm,0.5mm,15.0A,copper_lizt_c_1,2372
14.5mm,9,2,1.0mm,100.0kHz,7.4mm,7.4mm,0.9mm,3.0A,copper_lizt_c_1,2373
16.0mm,3,2,3.0mm,200.0kHz,7.8mm,4.8mm,2.7mm,22.0A,copper_lizt_c_3,2374
13.5mm,1,3,1.0mm,300.0kHz,7.6mm,8.1mm,2.5mm,24.0A,copper_lizt_c_1,2375
14.0mm,4,2,1.0mm,200.0kHz,4.2mm,5.7mm,2.5mm,42.0A,copper_lizt_c_1,2376
10.0mm,4,2,1.0mm,400.0kHz,4.0mm,4.5mm,2.1mm,44.0A,copper_lizt_c_1,2377
17.0mm,3,2,2.5mm,300.0kHz,5.6mm,8.1mm,1.7mm,7.0A,copper_lizt_c_2.5,2378
12.0mm,7,4,1.0mm,200.0kHz,6.6mm,5.6mm,1.9mm,4.0A,copper_lizt_c_1,2379
15.0mm,3,2,3.0mm,100.0kHz,8.0mm,7.5mm,1.1mm,32.0A,copper_lizt_c_3,2380
13.0mm,2,1,4.5mm,100.0kHz,5.4mm,7.9mm,2.5mm,14.0A,copper_lizt_c_4.5,2381
13.5mm,3,2,1.0mm,200.0kHz,7.1mm,6.6mm,0.9mm,30.0A,copper_lizt_c_1,2382
15.5mm,5,4,1.5mm,100.0kHz,4.7mm,7.7mm,2.3mm,19.0A,copper_lizt_c_1.5,2383
7.0mm,2,2,4.5mm,200.0kHz,4.1mm,4.1mm,3.5mm,47.0A,copper_lizt_c_4.5,2384
19.0mm,1,7,1.0mm,300.0kHz,5.7mm,7.2mm,3.3mm,14.0A,copper_lizt_c_1,2385
9.5mm,6,7,1.0mm,100.0kHz,4.4mm,3.4mm,2.3mm,11.0A,copper_lizt_c_1,2386
12.5mm,1,3,3.0mm,200.0kHz,5.2mm,5.7mm,1.9mm,40.0A,copper_lizt_c_3,2387
12.0mm,2,2,2.5mm,400.0kHz,7.1mm,5.1mm,1.9mm,48.0A,copper_lizt_c_2.5,2388
15.5mm,1,1,4.5mm,200.0kHz,6.7mm,5.7mm,1.5mm,49.0A,copper_lizt_c_4.5,2389
11.0mm,6,2,1.0mm,300.0kHz,5.3mm,6.8mm,3.5mm,34.0A,copper_lizt_c_1,2390
12.5mm,1,7,1.0mm,100.0kHz,5.7mm,7.2mm,2.1mm,33.0A,copper_lizt_c_1,2391
13.0mm,3,6,1.5mm,200.0kHz,6.4mm,3.9mm,3.9mm,10.0A,copper_lizt_c_1.5,2392
18.5mm,2,6,1.0mm,100.0kHz,6.6mm,6.6mm,1.9mm,22.0A,copper_lizt_c_1,2393
14.5mm,7,3,1.0mm,100.0kHz,4.9mm,4.4mm,1.9mm,4.0A,copper_lizt_c_1,2394
19.5mm,1,2,1.5mm,400.0kHz,7.9mm,6.4mm,3.7mm,38.0A,copper_lizt_c_1.5,2395
14.0mm,2,1,4.5mm,200.0kHz,5.2mm,8.2mm,3.1mm,7.0A,copper_lizt_c_4.5,2396
13.0mm,6,4,1.0mm,300.0kHz,5.4mm,6.4mm,2.3mm,18.0A,copper_lizt_c_1,2397
14.0mm,1,6,1.0mm,100.0kHz,6.7mm,8.2mm,1.1mm,32.0A,copper_lizt_c_1,2398
14.0mm,1,3,1.5mm,200.0kHz,5.7mm,8.2mm,3.9mm,7.0A,copper_lizt_c_1.5,2399
12.0mm,3,6,1.5mm,300.0kHz,5.1mm,4.6mm,2.7mm,8.0A,copper_lizt_c_1.5,2400
5.0mm,2,1,1.5mm,400.0kHz,2.5mm,1.5mm,1.7mm,12.0A,copper_lizt_c_1.5,2401
7.5mm,2,2,1.5mm,300.0kHz,4.2mm,4.8mm,1.9mm,46.0A,copper_lizt_c_1.5,2402
5.0mm,3,1,1.0mm,400.0kHz,2.5mm,2.0mm,3.5mm,21.0A,copper_lizt_c_1,2403
13.5mm,1,3,2.0mm,400.0kHz,5.1mm,5.1mm,2.9mm,34.0A,copper_lizt_c_2,2404
14.5mm,1,1,4.5mm,300.0kHz,7.4mm,6.9mm,2.9mm,33.0A,copper_lizt_c_4.5,2405
17.0mm,3,1,2.0mm,300.0kHz,5.1mm,8.1mm,2.3mm,9.0A,copper_lizt_c_2,2406
18.5mm,4,6,1.5mm,300.0kHz,7.1mm,5.6mm,2.3mm,7.0A,copper_lizt_c_1.5,2407
16.5mm,2,4,2.0mm,300.0kHz,8.0mm,5.0mm,3.5mm,34.0A,copper_lizt_c_2,2408
12.0mm,9,3,1.0mm,100.0kHz,6.6mm,3.6mm,3.5mm,7.0A,copper_lizt_c_1,2409
19.0mm,4,2,1.5mm,200.0kHz,6.2mm,7.7mm,0.7mm,15.0A,copper_lizt_c_1.5,2410
15.0mm,1,2,2.0mm,200.0kHz,8.0mm,8.0mm,0.9mm,43.0A,copper_lizt_c_2,2411
14.0mm,2,1,2.5mm,400.0kHz,6.7mm,7.2mm,0.3mm,21.0A,copper_lizt_c_2.5,2412
7.5mm,2,2,1.5mm,300.0kHz,3.3mm,3.3mm,0.9mm,16.0A,copper_lizt_c_1.5,2413
11.0mm,7,8,1.0mm,300.0kHz,3.3mm,4.8mm,3.9mm,12.0A,copper_lizt_c_1,2414
10.5mm,3,1,1.0mm,100.0kHz,3.7mm,3.2mm,3.7mm,30.0A,copper_lizt_c_1,2415
16.5mm,1,3,2.0mm,300.0kHz,5.0mm,7.0mm,2.3mm,49.0A,copper_lizt_c_2,2416
17.0mm,2,1,3.5mm,100.0kHz,5.1mm,6.6mm,0.7mm,49.0A,copper_lizt_c_3.5,2417
12.5mm,2,2,4.0mm,100.0kHz,6.7mm,5.2mm,0.9mm,20.0A,copper_lizt_c_4,2418
15.0mm,1,2,2.0mm,400.0kHz,5.0mm,7.5mm,2.1mm,37.0A,copper_lizt_c_2,2419
10.5mm,3,2,2.0mm,100.0kHz,5.2mm,3.2mm,2.7mm,35.0A,copper_lizt_c_2,2420
11.5mm,2,2,2.5mm,400.0kHz,5.0mm,4.5mm,0.5mm,1.0A,copper_lizt_c_2.5,2421
19.5mm,9,3,1.0mm,200.0kHz,7.9mm,5.9mm,3.9mm,27.0A,copper_lizt_c_1,2422
9.5mm,3,7,1.0mm,200.0kHz,4.4mm,3.9mm,1.1mm,3.0A,copper_lizt_c_1,2423
14.5mm,6,3,1.0mm,300.0kHz,4.9mm,6.9mm,1.9mm,25.0A,copper_lizt_c_1,2424
14.0mm,1,7,1.0mm,400.0kHz,5.2mm,7.7mm,3.1mm,28.0A,copper_lizt_c_1,2425
13.5mm,1,6,1.5mm,100.0kHz,7.6mm,6.6mm,1.3mm,22.0A,copper_lizt_c_1.5,2426
14.5mm,2,3,2.5mm,300.0kHz,5.4mm,4.9mm,0.9mm,8.0A,copper_lizt_c_2.5,2427
19.5mm,1,2,1.5mm,300.0kHz,6.9mm,7.9mm,1.5mm,44.0A,copper_lizt_c_1.5,2428
5.0mm,2,1,3.0mm,100.0kHz,1.5mm,2.0mm,3.5mm,19.0A,copper_lizt_c_3,2429
14.0mm,1,2,4.5mm,100.0kHz,7.2mm,5.7mm,3.5mm,11.0A,copper_lizt_c_4.5,2430
11.0mm,2,5,1.0mm,300.0kHz,5.8mm,5.3mm,3.7mm,17.0A,copper_lizt_c_1,2431
10.5mm,3,2,2.5mm,100.0kHz,4.7mm,4.7mm,1.3mm,18.0A,copper_lizt_c_2.5,2432
17.0mm,1,1,4.0mm,400.0kHz,7.6mm,6.1mm,3.5mm,25.0A,copper_lizt_c_4,2433
13.0mm,3,1,3.0mm,300.0kHz,5.4mm,7.9mm,1.3mm,27.0A,copper_lizt_c_3,2434
15.0mm,2,1,3.5mm,300.0kHz,7.5mm,8.0mm,3.9mm,48.0A,copper_lizt_c_3.5,2435
12.5mm,3,7,1.0mm,400.0kHz,6.7mm,5.7mm,2.9mm,6.0A,copper_lizt_c_1,2436
11.5mm,5,4,1.0mm,300.0kHz,3.5mm,4.5mm,3.5mm,12.0A,copper_lizt_c_1,2437
18.5mm,1,5,1.0mm,200.0kHz,7.6mm,8.1mm,3.3mm,21.0A,copper_lizt_c_1,2438
11.5mm,3,3,3.0mm,200.0kHz,6.5mm,4.5mm,1.5mm,9.0A,copper_lizt_c_3,2439
13.0mm,1,1,1.0mm,300.0kHz,6.4mm,6.9mm,2.5mm,1.0A,copper_lizt_c_1,2440
16.5mm,5,7,1.0mm,300.0kHz,5.0mm,5.5mm,2.7mm,4.0A,copper_lizt_c_1,2441
9.0mm,2,3,3.0mm,100.0kHz,3.7mm,4.7mm,2.1mm,2.0A,copper_lizt_c_3,2442
5.0mm,2,2,3.5mm,200.0kHz,2.5mm,3.0mm,3.1mm,27.0A,copper_lizt_c_3.5,2443
10.5mm,2,3,1.0mm,300.0kHz,3.7mm,5.2mm,2.7mm,6.0A,copper_lizt_c_1,2444
15.5mm,1,4,1.0mm,100.0kHz,7.7mm,6.7mm,1.9mm,34.0A,copper_lizt_c_1,2445
11.5mm,3,8,1.0mm,300.0kHz,7.0mm,4.5mm,1.7mm,2.0A,copper_lizt_c_1,2446
12.5mm,2,2,3.5mm,200.0kHz,6.7mm,6.2mm,2.9mm,39.0A,copper_lizt_c_3.5,2447
10.5mm,4,4,1.5mm,300.0kHz,6.2mm,4.7mm,1.7mm,23.0A,copper_lizt_c_1.5,2448
16.0mm,1,3,2.5mm,100.0kHz,4.8mm,5.8mm,3.1mm,38.0A,copper_lizt_c_2.5,2449
12.0mm,6,1,1.0mm,200.0kHz,3.6mm,5.6mm,0.7mm,27.0A,copper_lizt_c_1,2450
7.5mm,1,1,4.0mm,100.0kHz,3.3mm,3.3mm,0.3mm,27.0A,copper_lizt_c_4,2451
14.5mm,3,4,1.5mm,300.0kHz,4.9mm,5.9mm,3.5mm,6.0A,copper_lizt_c_1.5,2452
15.5mm,4,4,2.0mm,400.0kHz,4.7mm,7.2mm,3.5mm,26.0A,copper_lizt_c_2,2453
9.5mm,2,3,1.0mm,300.0kHz,4.4mm,3.9mm,1.5mm,45.0A,copper_lizt_c_1,2454
12.5mm,1,4,1.5mm,300.0kHz,3.8mm,4.8mm,3.5mm,14.0A,copper_lizt_c_1.5,2455
12.0mm,1,1,1.0mm,400.0kHz,6.1mm,7.1mm,2.3mm,28.0A,copper_lizt_c_1,2456
15.0mm,2,9,1.0mm,300.0kHz,5.0mm,5.5mm,2.5mm,16.0A,copper_lizt_c_1,2457
11.5mm,5,3,1.5mm,300.0kHz,6.5mm,7.0mm,3.9mm,12.0A,copper_lizt_c_1.5,2458
13.0mm,1,5,1.0mm,300.0kHz,7.9mm,4.9mm,3.5mm,31.0A,copper_lizt_c_1,2459
13.5mm,2,2,2.5mm,300.0kHz,6.1mm,6.6mm,2.5mm,30.0A,copper_lizt_c_2.5,2460
12.0mm,5,4,1.5mm,200.0kHz,4.6mm,7.1mm,0.9mm,3.0A,copper_lizt_c_1.5,2461
9.0mm,1,3,3.0mm,200.0kHz,5.2mm,2.7mm,1.1mm,26.0A,copper_lizt_c_3,2462
8.5mm,1,7,1.0mm,300.0kHz,2.6mm,5.1mm,1.7mm,46.0A,copper_lizt_c_1,2463
13.5mm,4,1,2.0mm,100.0kHz,5.6mm,8.1mm,3.5mm,21.0A,copper_lizt_c_2,2464
6.0mm,2,2,2.5mm,200.0kHz,3.8mm,2.3mm,1.3mm,12.0A,copper_lizt_c_2.5,2465
11.0mm,1,2,2.0mm,200.0kHz,6.3mm,5.3mm,3.3mm,39.0A,copper_lizt_c_2,2466
18.5mm,2,2,3.5mm,200.0kHz,5.6mm,6.6mm,3.9mm,21.0A,copper_lizt_c_3.5,2467
16.5mm,4,1,1.0mm,400.0kHz,7.0mm,7.5mm,0.9mm,29.0A,copper_lizt_c_1,2468
14.0mm,6,1,1.5mm,100.0kHz,7.2mm,4.2mm,1.7mm,44.0A,copper_lizt_c_1.5,2469
13.5mm,5,1,1.0mm,300.0kHz,7.1mm,5.1mm,0.3mm,4.0A,copper_lizt_c_1,2470
14.5mm,3,3,3.0mm,300.0kHz,4.4mm,4.9mm,3.3mm,18.0A,copper_lizt_c_3,2471
10.0mm,6,3,1.5mm,400.0kHz,3.5mm,3.5mm,1.9mm,24.0A,copper_lizt_c_1.5,2472
15.0mm,3,2,1.5mm,300.0kHz,7.0mm,5.5mm,1.5mm,32.0A,copper_lizt_c_1.5,2473
14.5mm,3,6,1.0mm,300.0kHz,6.4mm,6.4mm,1.3mm,14.0A,copper_lizt_c_1,2474
10.5mm,1,2,1.0mm,100.0kHz,4.7mm,3.2mm,3.5mm,32.0A,copper_lizt_c_1,2475
13.0mm,2,2,2.5mm,100.0kHz,4.9mm,7.4mm,2.9mm,19.0A,copper_lizt_c_2.5,2476
17.0mm,3,3,1.0mm,400.0kHz,7.6mm,5.6mm,1.7mm,34.0A,copper_lizt_c_1,2477
10.0mm,5,1,1.5mm,200.0kHz,5.5mm,5.5mm,0.7mm,21.0A,copper_lizt_c_1.5,2478
9.0mm,3,3,2.0mm,300.0kHz,3.7mm,4.2mm,0.3mm,1.0A,copper_lizt_c_2,2479
10.0mm,1,2,2.0mm,300.0kHz,5.0mm,5.5mm,0.5mm,7.0A,copper_lizt_c_2,2480
13.0mm,2,5,1.0mm,400.0kHz,7.9mm,6.9mm,2.1mm,7.0A,copper_lizt_c_1,2481
10.0mm,8,6,1.0mm,400.0kHz,5.0mm,5.5mm,3.7mm,17.0A,copper_lizt_c_1,2482
6.5mm,3,3,1.0mm,300.0kHz,4.0mm,2.0mm,2.5mm,22.0A,copper_lizt_c_1,2483
10.5mm,4,4,1.0mm,100.0kHz,3.7mm,3.2mm,3.3mm,14.0A,copper_lizt_c_1,2484
9.0mm,2,5,1.5mm,300.0kHz,4.7mm,4.7mm,0.9mm,21.0A,copper_lizt_c_1.5,2485
17.5mm,3,5,1.5mm,300.0kHz,5.8mm,7.8mm,3.1mm,22.0A,copper_lizt_c_1.5,2486
13.5mm,3,4,1.0mm,400.0kHz,6.1mm,5.6mm,1.9mm,10.0A,copper_lizt_c_1,2487
15.0mm,3,3,1.0mm,300.0kHz,5.5mm,7.0mm,2.9mm,17.0A,copper_lizt_c_1,2488
16.5mm,5,3,1.5mm,300.0kHz,5.0mm,7.0mm,1.9mm,26.0A,copper_lizt_c_1.5,2489
15.0mm,4,1,1.0mm,400.0kHz,7.0mm,7.5mm,3.9mm,14.0A,copper_lizt_c_1,2490
16.5mm,3,1,2.5mm,100.0kHz,7.5mm,7.5mm,3.9mm,20.0A,copper_lizt_c_2.5,2491
12.0mm,4,1,1.0mm,100.0kHz,3.6mm,5.1mm,2.5mm,21.0A,copper_lizt_c_1,2492
18.5mm,1,2,2.0mm,100.0kHz,6.6mm,6.1mm,3.5mm,8.0A,copper_lizt_c_2,2493
15.0mm,2,2,4.0mm,400.0kHz,7.0mm,6.5mm,1.3mm,26.0A,copper_lizt_c_4,2494
15.0mm,2,3,1.5mm,400.0kHz,7.5mm,7.0mm,1.3mm,17.0A,copper_lizt_c_1.5,2495
14.0mm,3,2,2.5mm,400.0kHz,5.7mm,5.2mm,2.1mm,23.0A,copper_lizt_c_2.5,2496
13.5mm,1,1,1.0mm,100.0kHz,8.1mm,7.6mm,3.9mm,4.0A,copper_lizt_c_1,2497
6.0mm,2,3,3.0mm,200.0kHz,1.8mm,2.3mm,1.7mm,28.0A,copper_lizt_c_3,2498
9.5mm,1,4,1.0mm,300.0kHz,5.9mm,5.9mm,3.7mm,41.0A,copper_lizt_c_1,2499
12.5mm,1,2,3.5mm,300.0kHz,3.8mm,7.2mm,2.7mm,25.0A,copper_lizt_c_3.5,2500
7.5mm,4,1,2.0mm,400.0kHz,4.8mm,3.8mm,2.5mm,3.0A,copper_lizt_c_2,2501
16.5mm,2,2,2.0mm,300.0kHz,7.5mm,7.5mm,2.7mm,46.0A,copper_lizt_c_2,2502
16.5mm,4,2,2.0mm,100.0kHz,5.5mm,6.5mm,1.1mm,2.0A,copper_lizt_c_2,2503
10.0mm,1,1,3.5mm,200.0kHz,6.0mm,5.5mm,0.5mm,30.0A,copper_lizt_c_3.5,2504
19.0mm,4,2,1.0mm,300.0kHz,6.2mm,6.2mm,1.5mm,31.0A,copper_lizt_c_1,2505
13.0mm,5,8,1.0mm,300.0kHz,6.4mm,6.4mm,1.3mm,5.0A,copper_lizt_c_1,2506
11.5mm,8,2,1.0mm,300.0kHz,7.0mm,3.5mm,3.9mm,5.0A,copper_lizt_c_1,2507
9.5mm,1,1,4.5mm,100.0kHz,5.9mm,3.9mm,3.9mm,18.0A,copper_lizt_c_4.5,2508
6.5mm,1,3,1.5mm,100.0kHz,3.5mm,3.0mm,2.1mm,21.0A,copper_lizt_c_1.5,2509
17.0mm,4,8,1.0mm,100.0kHz,6.6mm,6.1mm,3.1mm,21.0A,copper_lizt_c_1,2510
14.5mm,1,1,2.5mm,400.0kHz,6.9mm,4.4mm,3.3mm,7.0A,copper_lizt_c_2.5,2511
11.0mm,1,6,1.5mm,200.0kHz,6.8mm,5.3mm,3.3mm,9.0A,copper_lizt_c_1.5,2512
14.5mm,7,1,1.0mm,400.0kHz,6.4mm,5.9mm,3.9mm,28.0A,copper_lizt_c_1,2513
5.5mm,2,2,1.5mm,400.0kHz,2.2mm,2.7mm,3.3mm,33.0A,copper_lizt_c_1.5,2514
13.0mm,7,1,1.0mm,400.0kHz,4.9mm,4.9mm,3.3mm,35.0A,copper_lizt_c_1,2515
18.5mm,1,2,4.5mm,100.0kHz,5.6mm,6.1mm,1.3mm,33.0A,copper_lizt_c_4.5,2516
8.0mm,3,5,1.5mm,100.0kHz,4.9mm,2.9mm,3.1mm,4.0A,copper_lizt_c_1.5,2517
10.0mm,4,4,1.5mm,200.0kHz,5.0mm,6.0mm,3.1mm,43.0A,copper_lizt_c_1.5,2518
15.5mm,7,4,1.0mm,400.0kHz,7.2mm,5.2mm,3.1mm,26.0A,copper_lizt_c_1,2519
7.5mm,4,1,1.5mm,100.0kHz,3.3mm,2.8mm,3.3mm,8.0A,copper_lizt_c_1.5,2520
9.0mm,1,2,3.5mm,300.0kHz,4.7mm,2.7mm,2.7mm,10.0A,copper_lizt_c_3.5,2521
12.0mm,1,1,3.5mm,100.0kHz,6.6mm,6.6mm,0.7mm,23.0A,copper_lizt_c_3.5,2522
13.0mm,1,2,2.0mm,400.0kHz,5.9mm,5.9mm,3.7mm,5.0A,copper_lizt_c_2,2523
14.0mm,7,1,1.0mm,100.0kHz,4.7mm,6.2mm,3.7mm,40.0A,copper_lizt_c_1,2524
13.0mm,9,8,1.0mm,100.0kHz,6.4mm,7.4mm,0.9mm,2.0A,copper_lizt_c_1,2525
13.0mm,3,3,2.0mm,400.0kHz,5.9mm,4.4mm,2.1mm,9.0A,copper_lizt_c_2,2526
17.0mm,5,4,1.5mm,100.0kHz,5.1mm,6.1mm,0.9mm,7.0A,copper_lizt_c_1.5,2527
6.5mm,1,1,1.5mm,200.0kHz,2.0mm,4.0mm,3.7mm,12.0A,copper_lizt_c_1.5,2528
15.5mm,2,1,3.0mm,100.0kHz,5.2mm,4.7mm,3.9mm,42.0A,copper_lizt_c_3,2529
12.5mm,5,1,1.5mm,200.0kHz,4.8mm,5.7mm,2.1mm,35.0A,copper_lizt_c_1.5,2530
10.5mm,7,1,1.0mm,100.0kHz,4.2mm,5.7mm,2.7mm,8.0A,copper_lizt_c_1,2531
6.0mm,6,6,1.5mm,400.0kHz,2.8mm,3.8mm,3.7mm,10.0A,copper_lizt_c_1.5,2532
17.5mm,1,6,1.0mm,400.0kHz,5.3mm,7.3mm,1.3mm,19.0A,copper_lizt_c_1,2533
19.0mm,2,3,1.0mm,100.0kHz,6.7mm,7.7mm,1.5mm,46.0A,copper_lizt_c_1,2534
14.5mm,3,3,2.5mm,200.0kHz,5.4mm,4.4mm,3.5mm,39.0A,copper_lizt_c_2.5,2535
13.0mm,3,1,1.0mm,400.0kHz,6.4mm,4.9mm,1.9mm,35.0A,copper_lizt_c_1,2536
10.0mm,3,1,2.0mm,100.0kHz,6.0mm,6.0mm,1.3mm,17.0A,copper_lizt_c_2,2537
15.5mm,8,4,1.0mm,200.0kHz,8.2mm,4.7mm,1.7mm,11.0A,copper_lizt_c_1,2538
9.5mm,1,3,2.0mm,200.0kHz,5.9mm,4.9mm,3.5mm,3.0A,copper_lizt_c_2,2539
6.5mm,4,2,1.5mm,200.0kHz,3.0mm,4.0mm,3.3mm,23.0A,copper_lizt_c_1.5,2540
19.5mm,1,9,1.0mm,100.0kHz,7.4mm,5.9mm,2.1mm,40.0A,copper_lizt_c_1,2541
19.0mm,4,9,1.0mm,100.0kHz,5.7mm,7.7mm,3.1mm,17.0A,copper_lizt_c_1,2542
13.5mm,1,1,1.5mm,400.0kHz,5.1mm,5.6mm,1.5mm,15.0A,copper_lizt_c_1.5,2543
10.5mm,3,3,2.5mm,200.0kHz,4.7mm,5.2mm,3.5mm,32.0A,copper_lizt_c_2.5,2544
5.0mm,2,1,1.0mm,100.0kHz,3.0mm,3.0mm,3.5mm,28.0A,copper_lizt_c_1,2545
15.5mm,2,4,2.0mm,300.0kHz,7.2mm,4.7mm,2.9mm,29.0A,copper_lizt_c_2,2546
12.5mm,5,8,1.0mm,300.0kHz,4.8mm,5.2mm,3.7mm,12.0A,copper_lizt_c_1,2547
11.5mm,9,3,1.0mm,100.0kHz,4.0mm,6.5mm,3.7mm,13.0A,copper_lizt_c_1,2548
14.5mm,3,5,1.5mm,300.0kHz,5.4mm,6.9mm,0.3mm,1.0A,copper_lizt_c_1.5,2549
9.5mm,3,8,1.0mm,200.0kHz,4.9mm,4.9mm,2.9mm,27.0A,copper_lizt_c_1,2550
13.0mm,5,2,1.0mm,400.0kHz,3.9mm,6.9mm,1.7mm,25.0A,copper_lizt_c_1,2551
13.0mm,3,1,2.0mm,400.0kHz,5.4mm,6.9mm,0.7mm,26.0A,copper_lizt_c_2,2552
13.5mm,1,2,3.5mm,200.0kHz,6.6mm,6.1mm,2.1mm,22.0A,copper_lizt_c_3.5,2553
12.0mm,2,1,2.0mm,300.0kHz,6.1mm,3.6mm,1.1mm,44.0A,copper_lizt_c_2,2554
14.5mm,6,6,1.0mm,100.0kHz,7.4mm,7.9mm,3.5mm,2.0A,copper_lizt_c_1,2555
12.5mm,2,8,1.0mm,100.0kHz,6.7mm,7.2mm,3.9mm,3.0A,copper_lizt_c_1,2556
7.0mm,1,9,1.0mm,400.0kHz,2.1mm,2.1mm,2.7mm,31.0A,copper_lizt_c_1,2557
9.5mm,8,2,1.0mm,200.0kHz,2.9mm,3.9mm,2.9mm,9.0A,copper_lizt_c_1,2558
13.0mm,4,2,2.0mm,100.0kHz,4.4mm,6.4mm,1.1mm,3.0A,copper_lizt_c_2,2559
11.5mm,1,1,1.0mm,100.0kHz,7.0mm,4.5mm,2.7mm,2.0A,copper_lizt_c_1,2560
13.0mm,7,3,1.0mm,300.0kHz,4.9mm,4.9mm,3.3mm,29.0A,copper_lizt_c_1,2561
13.5mm,1,1,1.0mm,200.0kHz,4.6mm,8.1mm,3.7mm,47.0A,copper_lizt_c_1,2562
16.0mm,1,3,3.0mm,100.0kHz,6.8mm,5.8mm,3.7mm,29.0A,copper_lizt_c_3,2563
12.5mm,2,1,3.5mm,400.0kHz,6.7mm,7.2mm,3.1mm,11.0A,copper_lizt_c_3.5,2564
18.5mm,2,2,3.5mm,200.0kHz,8.1mm,6.1mm,1.5mm,24.0A,copper_lizt_c_3.5,2565
19.0mm,3,1,3.0mm,100.0kHz,7.2mm,7.7mm,3.3mm,17.0A,copper_lizt_c_3,2566
14.5mm,1,3,1.5mm,200.0kHz,5.9mm,6.4mm,1.7mm,32.0A,copper_lizt_c_1.5,2567
5.5mm,6,7,1.0mm,200.0kHz,2.2mm,2.2mm,3.5mm,18.0A,copper_lizt_c_1,2568
16.5mm,2,2,2.5mm,400.0kHz,6.5mm,8.0mm,3.9mm,31.0A,copper_lizt_c_2.5,2569
17.0mm,1,1,3.5mm,100.0kHz,5.1mm,5.6mm,3.3mm,1.0A,copper_lizt_c_3.5,2570
12.5mm,3,1,2.5mm,200.0kHz,4.8mm,7.2mm,1.7mm,26.0A,copper_lizt_c_2.5,2571
11.5mm,3,1,2.0mm,200.0kHz,6.5mm,6.5mm,1.1mm,33.0A,copper_lizt_c_2,2572
13.0mm,2,1,1.0mm,200.0kHz,4.4mm,6.9mm,2.1mm,14.0A,copper_lizt_c_1,2573
7.5mm,1,1,1.0mm,300.0kHz,4.2mm,2.3mm,2.5mm,42.0A,copper_lizt_c_1,2574
13.0mm,4,2,1.0mm,200.0kHz,3.9mm,5.9mm,2.7mm,15.0A,copper_lizt_c_1,2575
17.0mm,4,1,2.0mm,300.0kHz,7.6mm,6.1mm,3.1mm,38.0A,copper_lizt_c_2,2576
7.0mm,2,1,4.5mm,400.0kHz,2.1mm,3.6mm,2.7mm,44.0A,copper_lizt_c_4.5,2577
9.0mm,3,1,2.5mm,100.0kHz,4.2mm,3.2mm,3.3mm,19.0A,copper_lizt_c_2.5,2578
11.0mm,1,3,2.0mm,200.0kHz,4.3mm,4.3mm,1.7mm,11.0A,copper_lizt_c_2,2579
14.0mm,9,1,1.0mm,100.0kHz,6.2mm,7.7mm,3.9mm,12.0A,copper_lizt_c_1,2580
13.5mm,3,2,3.0mm,100.0kHz,5.6mm,4.6mm,3.7mm,24.0A,copper_lizt_c_3,2581
15.0mm,4,6,1.0mm,200.0kHz,4.5mm,4.5mm,1.5mm,5.0A,copper_lizt_c_1,2582
14.5mm,1,2,2.0mm,400.0kHz,4.4mm,7.9mm,1.9mm,7.0A,copper_lizt_c_2,2583
15.5mm,2,4,1.5mm,200.0kHz,6.2mm,7.2mm,2.3mm,49.0A,copper_lizt_c_1.5,2584
13.5mm,5,3,1.0mm,300.0kHz,6.1mm,6.6mm,3.5mm,5.0A,copper_lizt_c_1,2585
11.0mm,2,1,1.5mm,300.0kHz,4.8mm,3.3mm,1.7mm,44.0A,copper_lizt_c_1.5,2586
18.5mm,2,1,1.5mm,300.0kHz,6.6mm,8.1mm,2.5mm,38.0A,copper_lizt_c_1.5,2587
13.5mm,3,3,3.0mm,300.0kHz,6.1mm,4.1mm,2.3mm,13.0A,copper_lizt_c_3,2588
15.5mm,2,3,3.0mm,400.0kHz,6.7mm,7.7mm,0.7mm,4.0A,copper_lizt_c_3,2589
17.0mm,6,3,1.5mm,400.0kHz,6.1mm,8.1mm,3.5mm,10.0A,copper_lizt_c_1.5,2590
8.5mm,1,7,1.0mm,400.0kHz,4.6mm,5.1mm,1.3mm,12.0A,copper_lizt_c_1,2591
13.0mm,4,1,2.0mm,400.0kHz,5.9mm,7.4mm,1.5mm,29.0A,copper_lizt_c_2,2592
16.5mm,1,4,2.0mm,100.0kHz,5.5mm,5.0mm,0.9mm,13.0A,copper_lizt_c_2,2593
16.5mm,1,3,1.5mm,100.0kHz,5.5mm,5.5mm,0.5mm,35.0A,copper_lizt_c_1.5,2594
13.0mm,2,1,2.5mm,200.0kHz,4.9mm,5.9mm,0.5mm,26.0A,copper_lizt_c_2.5,2595
15.5mm,9,6,1.0mm,300.0kHz,5.2mm,7.2mm,1.9mm,7.0A,copper_lizt_c_1,2596
15.0mm,2,5,1.5mm,300.0kHz,6.0mm,7.0mm,3.9mm,8.0A,copper_lizt_c_1.5,2597
